date,ride_id_count,distance_km_mean,month_sin,month_cos,day_of_week_sin,day_of_week_cos,wind_avg,percip_total,temp_min,temp_max
2023-07-21,125519,1.9342692937279071,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,5.037234199999999,0.15,21.666666666666664,28.888888888888886
2023-07-22,133546,2.077109806239658,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,5.037234199999999,0.0,21.11111111111111,29.444444444444443
2023-07-23,122644,2.0406841731121697,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,2.5266638,0.0,20.555555555555554,31.11111111111111
2023-07-24,125835,1.9304291820956618,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,5.037234199999999,0.0,23.333333333333332,29.444444444444443
2023-07-25,111881,1.912445066045653,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,4.6831794,0.28,20.0,30.0
2023-07-26,143195,1.9514012463066204,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,3.2347733999999995,0.0,20.0,30.555555555555554
2023-07-27,128564,1.912133924543353,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,7.9179528,0.15,23.88888888888889,33.33333333333333
2023-07-28,125861,1.9148518213472765,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,3.9589764,0.0,23.88888888888889,33.33333333333333
2023-07-29,120530,1.9945649941039139,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,8.2720076,0.06,21.11111111111111,31.666666666666664
2023-07-30,128839,2.081595140381001,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,7.563898,0.0,18.88888888888889,26.666666666666664
2023-07-31,130950,1.9628983455229467,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,4.6831794,0.0,18.88888888888889,29.444444444444443
2023-08-01,205299,1.9970014541731853,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,7.563898,0.0,18.333333333333332,27.777777777777775
2023-08-02,208503,1.9921273060423497,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,4.6831794,0.0,17.77777777777778,27.22222222222222
2023-08-03,202516,1.953744759733203,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,5.037234199999999,0.0,18.88888888888889,26.666666666666664
2023-08-04,185184,1.9332830081774623,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,4.3130312,0.0,21.666666666666664,25.0
2023-08-05,199383,2.145101823787708,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,5.4073823999999995,0.0,21.666666666666664,30.555555555555554
2023-08-06,178088,2.052803338743382,-0.4999999999999998,-0.8660254037844388,-2.4492935982947064e-16,1.0,3.6049216000000004,0.0,20.555555555555554,30.555555555555554
2023-08-07,143120,1.8749105174994107,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,3.2347733999999995,1.12,20.0,27.22222222222222
2023-08-08,192617,1.9781824521939682,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,8.6421558,0.01,21.11111111111111,26.666666666666664
2023-08-09,203479,2.004702361927834,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,11.1527262,0.0,20.555555555555554,30.0
2023-08-10,130201,1.9133713701946653,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,3.2347733999999995,0.48,21.11111111111111,27.22222222222222
2023-08-11,196321,2.001190291345129,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,6.115492,0.0,19.444444444444443,29.444444444444443
2023-08-12,192089,2.173995331128253,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,4.6831794,0.0,20.555555555555554,29.444444444444443
2023-08-13,170013,2.0459781545289437,-0.4999999999999998,-0.8660254037844388,-2.4492935982947064e-16,1.0,7.563898,0.69,20.555555555555554,31.11111111111111
2023-08-14,172634,1.9597840393632693,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1.8024608000000002,0.02,22.22222222222222,30.555555555555554
2023-08-15,142526,1.9880784759175105,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,7.563898,0.77,21.11111111111111,26.666666666666664
2023-08-16,150489,2.0109600057083306,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,4.6831794,1.33,20.555555555555554,27.777777777777775
2023-08-17,146023,1.9923441909869823,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,6.115492,0.0,22.22222222222222,26.11111111111111
2023-08-18,141671,2.0521248660181866,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,7.9179528,0.77,18.333333333333332,26.666666666666664
2023-08-19,159057,2.2235923241197404,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,7.9179528,0.0,17.22222222222222,25.555555555555554
2023-08-20,131879,2.0690994237431126,-0.4999999999999998,-0.8660254037844388,-2.4492935982947064e-16,1.0,5.7614372000000005,0.0,18.88888888888889,29.444444444444443
2023-08-21,134733,1.9541385045257935,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,7.1937498,0.0,22.777777777777775,31.11111111111111
2023-08-22,150941,2.0027153650696596,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,7.9179528,0.0,19.444444444444443,26.11111111111111
2023-08-23,151567,1.9999333218576207,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,5.037234199999999,0.0,17.77777777777778,26.666666666666664
2023-08-24,112258,1.917346233104344,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,1.8024608000000002,0.14,19.444444444444443,22.777777777777775
